[16:47:36:021 W] [GoapAgent        ] New Plan= NO PLAN
[16:47:36:021 I] [GoapAgent        ] ---- Complate GoapKey State ----
[16:47:36:021 I] [GoapAgent        ] GoapKey.hastarget: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.dangercombat: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.damagetaken: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.damagedone: False
[16:47:36:022 I] [GoapAgent        ] GoapKey.damagetakenordone: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.targetisalive: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.targettargetsus: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.incombat: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.pethastarget: False
[16:47:36:022 I] [GoapAgent        ] GoapKey.ismounted: False
[16:47:36:022 I] [GoapAgent        ] GoapKey.withinpullrange: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.incombatrange: True
[16:47:36:022 I] [GoapAgent        ] GoapKey.pulled: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.isdead: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.shouldloot: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.shouldgather: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.producedcorpse: True
[16:47:36:023 I] [GoapAgent        ] GoapKey.consumecorpse: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.isswimming: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.itemsbroken: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.gathering: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.targethostile: True
[16:47:36:023 I] [GoapAgent        ] GoapKey.hasfocus: True
[16:47:36:023 I] [GoapAgent        ] GoapKey.focushastarget: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.focuscombat: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.consumablecorpsenearby: True
[16:47:36:023 I] [GoapAgent        ] GoapKey.forcedfollow: False
[16:47:36:023 I] [GoapAgent        ] GoapKey.assistisfollowing: False
[16:47:36:024 I] [GoapAgent        ] GoapKey.assistrequestreturn: False
[16:47:36:024 I] [GoapAgent        ] GoapKey.assistrequestreturnorisfollowing: False
[16:47:36:024 I] [GoapAgent        ] GoapKey.drinking: False
[16:47:36:024 I] [GoapAgent        ] GoapKey.eating: False
